Enter platform #:
Sattolo, global memory latency (up to 11670800 K) unroll:
1,15.657143
2,15.629580
4,15.657365
8,15.664700
12,15.634162
16,15.657143
24,15.651645
32,15.629580
48,15.642480
64,15.677568
96,49.322525
128,83.080566
144,92.887405
160,96.890823
172,99.124168
192,101.781593
256,108.057144
384,112.375641
512,114.231842
600,114.822189
768,115.588905
1024,115.884705
1536,116.263428
2048,116.380066
3072,116.352211
4096,116.342857
5120,116.492104
6144,116.486183
8192,116.474350
16384,116.369583
18432,116.518028
20480,116.380875
24576,116.263428
25600,116.552536
28672,116.555840
32768,116.283966
36864,116.987679
40960,117.264839
41200,117.029167
49152,117.841179
65536,118.171425
98304,133.813675
131072,228.056000
196608,244.263351
262144,248.578354
524288,254.094925
768432,255.047333
819200,255.721054
921600,255.395615
1048576,256.457153
